adm1,iso_3166_2,reported_sect,adm1_total
Akkar,LB-AK,Alawite,15833
Akkar,LB-AK,Armenian Catholic,78
Akkar,LB-AK,Armenian Orthodox,186
Akkar,LB-AK,Christian Minorities,555
Akkar,LB-AK,Druze,21
Akkar,LB-AK,Greek Catholic,3680
Akkar,LB-AK,Greek Orthodox,39330
Akkar,LB-AK,Maronite,32239
Akkar,LB-AK,Other,676
Akkar,LB-AK,Protestant,846
Akkar,LB-AK,Shia,3705
Akkar,LB-AK,Sunni,212368
Baalbek-Hermel,LB-BH,Alawite,120
Baalbek-Hermel,LB-BH,Armenian Catholic,49
Baalbek-Hermel,LB-BH,Armenian Orthodox,235
Baalbek-Hermel,LB-BH,Christian Minorities,459
Baalbek-Hermel,LB-BH,Druze,44
Baalbek-Hermel,LB-BH,Greek Catholic,16050
Baalbek-Hermel,LB-BH,Greek Orthodox,2926
Baalbek-Hermel,LB-BH,Maronite,23846
Baalbek-Hermel,LB-BH,Other,1267
Baalbek-Hermel,LB-BH,Protestant,119
Baalbek-Hermel,LB-BH,Shia,246878
Baalbek-Hermel,LB-BH,Sunni,49270
Bayrut,LB-BA,Alawite,154
Bayrut,LB-BA,Armenian Catholic,7959
Bayrut,LB-BA,Armenian Orthodox,42261
Bayrut,LB-BA,Christian Minorities,23832
Bayrut,LB-BA,Druze,5546
Bayrut,LB-BA,Greek Catholic,20134
Bayrut,LB-BA,Greek Orthodox,39877
Bayrut,LB-BA,Maronite,29142
Bayrut,LB-BA,Other,7141
Bayrut,LB-BA,Protestant,3799
Bayrut,LB-BA,Shia,85460
Bayrut,LB-BA,Sunni,240382
Beqaa,LB-BI,Alawite,19
Beqaa,LB-BI,Armenian Catholic,1875
Beqaa,LB-BI,Armenian Orthodox,8651
Beqaa,LB-BI,Christian Minorities,8783
Beqaa,LB-BI,Druze,23253
Beqaa,LB-BI,Greek Catholic,40546
Beqaa,LB-BI,Greek Orthodox,27207
Beqaa,LB-BI,Maronite,40794
Beqaa,LB-BI,Other,1168
Beqaa,LB-BI,Protestant,1261
Beqaa,LB-BI,Shia,53666
Beqaa,LB-BI,Sunni,130177
Liban-Nord,LB-AS,Alawite,18305
Liban-Nord,LB-AS,Armenian Catholic,609
Liban-Nord,LB-AS,Armenian Orthodox,2343
Liban-Nord,LB-AS,Christian Minorities,2699
Liban-Nord,LB-AS,Druze,85
Liban-Nord,LB-AS,Greek Catholic,6034
Liban-Nord,LB-AS,Greek Orthodox,73261
Liban-Nord,LB-AS,Maronite,182052
Liban-Nord,LB-AS,Other,2526
Liban-Nord,LB-AS,Protestant,1008
Liban-Nord,LB-AS,Shia,5994
Liban-Nord,LB-AS,Sunni,340159
Liban-Sud,LB-JA,Alawite,43
Liban-Sud,LB-JA,Armenian Catholic,363
Liban-Sud,LB-JA,Armenian Orthodox,1584
Liban-Sud,LB-JA,Christian Minorities,2056
Liban-Sud,LB-JA,Druze,748
Liban-Sud,LB-JA,Greek Catholic,32506
Liban-Sud,LB-JA,Greek Orthodox,3878
Liban-Sud,LB-JA,Maronite,64313
Liban-Sud,LB-JA,Other,2370
Liban-Sud,LB-JA,Protestant,1221
Liban-Sud,LB-JA,Shia,427412
Liban-Sud,LB-JA,Sunni,83090
Mont-Liban,LB-JL,Alawite,259
Mont-Liban,LB-JL,Armenian Catholic,8378
Mont-Liban,LB-JL,Armenian Orthodox,30152
Mont-Liban,LB-JL,Christian Minorities,20381
Mont-Liban,LB-JL,Druze,170301
Mont-Liban,LB-JL,Greek Catholic,52379
Mont-Liban,LB-JL,Greek Orthodox,66043
Mont-Liban,LB-JL,Maronite,359577
Mont-Liban,LB-JL,Other,4582
Mont-Liban,LB-JL,Protestant,3998
Mont-Liban,LB-JL,Shia,80863
Mont-Liban,LB-JL,Sunni,86828
Nabatiye,LB-NA,Alawite,27
Nabatiye,LB-NA,Armenian Catholic,72
Nabatiye,LB-NA,Armenian Orthodox,119
Nabatiye,LB-NA,Christian Minorities,710
Nabatiye,LB-NA,Druze,17675
Nabatiye,LB-NA,Greek Catholic,5245
Nabatiye,LB-NA,Greek Orthodox,10511
Nabatiye,LB-NA,Maronite,12065
Nabatiye,LB-NA,Other,1238
Nabatiye,LB-NA,Protestant,1270
Nabatiye,LB-NA,Shia,251723
Nabatiye,LB-NA,Sunni,34585
